log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,sin(dec) low,sin(dec) center,sin(dec) high,rate [s^-1]
3.45,3.625,3.8,0.95,0.975,1.0,0.0
3.8,3.975,4.15,-1.0,-0.975,-0.95,4.58688933705316e-06
3.8,3.975,4.15,-0.95,-0.925,-0.9,5.142691301616156e-06
3.8,3.975,4.15,-0.9,-0.875,-0.85,5.844552229186161e-06
3.8,3.975,4.15,-0.85,-0.825,-0.8,6.598946639063109e-06
3.8,3.975,4.15,-0.8,-0.775,-0.75,7.102523013734104e-06
3.8,3.975,4.15,-0.75,-0.725,-0.7,7.22438239026592e-06
3.8,3.975,4.15,-0.7,-0.675,-0.65,6.782915568567944e-06
3.8,3.975,4.15,-0.65,-0.625,-0.6,5.671247638430686e-06
3.8,3.975,4.15,-0.6,-0.575,-0.55,5.2087616873507475e-06
3.8,3.975,4.15,-0.55,-0.525,-0.5,4.895598453616601e-06
3.8,3.975,4.15,-0.5,-0.475,-0.45,4.660123366092015e-06
3.8,3.975,4.15,-0.45,-0.425,-0.4,4.472161376037752e-06
3.8,3.975,4.15,-0.4,-0.375,-0.35,4.317847804349773e-06
3.8,3.975,4.15,-0.35,-0.325,-0.3,4.1647923412424365e-06
3.8,3.975,4.15,-0.3,-0.275,-0.25,4.047645053598944e-06
3.8,3.975,4.15,-0.25,-0.225,-0.2,3.964374469862452e-06
3.8,3.975,4.15,-0.2,-0.175,-0.15,3.887220755368668e-06
3.8,3.975,4.15,-0.15,-0.125,-0.1,3.834613545716512e-06
3.8,3.975,4.15,-0.1,-0.075,-0.05,3.8005769178475464e-06
3.8,3.975,4.15,-0.05,-0.025,0.0,3.766414907481746e-06
3.8,3.975,4.15,0.0,0.025,0.05,3.740323918122902e-06
3.8,3.975,4.15,0.05,0.075,0.1,3.7106005390565255e-06
3.8,3.975,4.15,0.1,0.125,0.15,3.689032047632157e-06
3.8,3.975,4.15,0.15,0.175,0.2,3.67859322985621e-06
3.8,3.975,4.15,0.2,0.225,0.25,3.682950071325605e-06
3.8,3.975,4.15,0.25,0.275,0.3,3.7121919136418536e-06
3.8,3.975,4.15,0.3,0.325,0.35,3.7568399920648357e-06
3.8,3.975,4.15,0.35,0.375,0.4,3.777603196151272e-06
3.8,3.975,4.15,0.4,0.425,0.45,3.828331983579023e-06
3.8,3.975,4.15,0.45,0.475,0.5,3.894567165001797e-06
3.8,3.975,4.15,0.5,0.525,0.55,3.947993601954695e-06
3.8,3.975,4.15,0.55,0.575,0.6,3.9871063116147384e-06
3.8,3.975,4.15,0.6,0.625,0.65,4.077027681692979e-06
3.8,3.975,4.15,0.65,0.675,0.7,4.164394518092618e-06
3.8,3.975,4.15,0.7,0.725,0.75,4.143301586454304e-06
3.8,3.975,4.15,0.75,0.775,0.8,4.004630467873986e-06
3.8,3.975,4.15,0.8,0.825,0.85,3.145760766146028e-06
3.8,3.975,4.15,0.85,0.875,0.9,1.780873399618215e-06
3.8,3.975,4.15,0.9,0.925,0.95,0.0
3.8,3.975,4.15,0.95,0.975,1.0,0.0
4.15,4.325,4.5,-1.0,-0.975,-0.95,1.0824320092560815e-06
4.15,4.325,4.5,-0.95,-0.925,-0.9,1.2124828028972354e-06
4.15,4.325,4.5,-0.9,-0.875,-0.85,1.3886658181819175e-06
4.15,4.325,4.5,-0.85,-0.825,-0.8,1.6042521941463582e-06
4.15,4.325,4.5,-0.8,-0.775,-0.75,1.751678231604503e-06
4.15,4.325,4.5,-0.75,-0.725,-0.7,1.7792007922284886e-06
4.15,4.325,4.5,-0.7,-0.675,-0.65,2.030644537106248e-06
4.15,4.325,4.5,-0.65,-0.625,-0.6,1.5498474305185109e-06
4.15,4.325,4.5,-0.6,-0.575,-0.55,1.4007870299471288e-06
4.15,4.325,4.5,-0.55,-0.525,-0.5,1.3051212318946627e-06
4.15,4.325,4.5,-0.5,-0.475,-0.45,1.2362209863626224e-06
