log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
3.100,3.275,3.450,-2.4166243683930597,0.0
3.100,3.275,3.450,-2.4134951675400815,0.0
3.100,3.275,3.450,-2.4103659666871033,0.0
3.100,3.275,3.450,-2.407236765834125,0.0
3.100,3.275,3.450,-2.4041075649811474,0.0
3.100,3.275,3.450,-2.4009783641281692,0.0
3.100,3.275,3.450,-2.397849163275191,0.0
3.100,3.275,3.450,-2.394719962422213,0.0
3.100,3.275,3.450,-2.3915907615692347,0.0
3.100,3.275,3.450,-2.388461560716257,0.0
3.100,3.275,3.450,-2.3853323598632787,0.0
3.100,3.275,3.450,-2.3822031590103006,0.0
3.100,3.275,3.450,-2.3790739581573224,0.0
3.100,3.275,3.450,-2.375944757304344,0.0
3.100,3.275,3.450,-2.372815556451366,0.0
3.100,3.275,3.450,-2.369686355598388,0.0
3.100,3.275,3.450,-2.3665571547454096,0.0
3.100,3.275,3.450,-2.3634279538924314,0.0
3.100,3.275,3.450,-2.3602987530394532,0.0
3.100,3.275,3.450,-2.357169552186475,0.0
3.100,3.275,3.450,-2.354040351333497,0.0
3.100,3.275,3.450,-2.3509111504805187,0.0
3.100,3.275,3.450,-2.3477819496275405,0.0
3.100,3.275,3.450,-2.3446527487745623,0.0
3.100,3.275,3.450,-2.3415235479215846,0.0
3.100,3.275,3.450,-2.3383943470686064,0.0
3.100,3.275,3.450,-2.335265146215628,0.0
3.100,3.275,3.450,-2.33213594536265,0.0
3.100,3.275,3.450,-2.329006744509672,0.0
