log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,cos(zen) low,cos(zen) center,cos(zen) high,aeff [m^2]
4.85,5.025,5.2,0.45,0.475,0.5,0.0
4.85,5.025,5.2,0.5,0.525,0.55,0.0
4.85,5.025,5.2,0.55,0.575,0.6,0.0
4.85,5.025,5.2,0.6,0.625,0.65,0.0
4.85,5.025,5.2,0.65,0.675,0.7,0.0
4.85,5.025,5.2,0.7,0.725,0.75,0.0
4.85,5.025,5.2,0.75,0.775,0.8,0.0
4.85,5.025,5.2,0.8,0.825,0.85,0.0
4.85,5.025,5.2,0.85,0.875,0.9,0.0
4.85,5.025,5.2,0.9,0.925,0.95,0.0
4.85,5.025,5.2,0.95,0.975,1.0,0.0
5.2,5.375,5.55,-1.0,-0.975,-0.95,47.014570937556044
5.2,5.375,5.55,-0.95,-0.925,-0.9,62.796262285572766
5.2,5.375,5.55,-0.9,-0.875,-0.85,83.23941607372895
5.2,5.375,5.55,-0.85,-0.825,-0.8,117.69356357092232
5.2,5.375,5.55,-0.8,-0.775,-0.75,129.9102462295731
5.2,5.375,5.55,-0.75,-0.725,-0.7,137.48129451645886
5.2,5.375,5.55,-0.7,-0.675,-0.65,151.80609033747328
5.2,5.375,5.55,-0.65,-0.625,-0.6,159.93175828614642
5.2,5.375,5.55,-0.6,-0.575,-0.55,162.06852953971816
5.2,5.375,5.55,-0.55,-0.525,-0.5,171.5346310315447
5.2,5.375,5.55,-0.5,-0.475,-0.45,184.18525428362778
5.2,5.375,5.55,-0.45,-0.425,-0.4,194.63103477080534
5.2,5.375,5.55,-0.4,-0.375,-0.35,201.17740975581893
5.2,5.375,5.55,-0.35,-0.325,-0.3,216.73371835121293
5.2,5.375,5.55,-0.3,-0.275,-0.25,216.6964323262161
5.2,5.375,5.55,-0.25,-0.225,-0.2,226.35757393686822
5.2,5.375,5.55,-0.2,-0.175,-0.15,236.96210081676037
5.2,5.375,5.55,-0.15,-0.125,-0.1,242.6529013075421
5.2,5.375,5.55,-0.1,-0.075,-0.05,264.47706208858915
5.2,5.375,5.55,-0.05,-0.025,0.0,286.39279862686664
5.2,5.375,5.55,0.0,0.025,0.05,303.99439592846545
