log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,dP/dlog10(nu_E [GeV])
5.200,5.375,5.550,                        7.300,7.475,7.650,                        0.0
5.200,5.375,5.550,                        7.650,7.825,8.000,                        0.0
5.550,5.725,5.900,                        1.000,1.175,1.350,                        0.0
5.550,5.725,5.900,                        1.350,1.525,1.700,                        0.0
5.550,5.725,5.900,                        1.700,1.875,2.050,                        0.0
5.550,5.725,5.900,                        2.050,2.225,2.400,                        0.0
5.550,5.725,5.900,                        2.400,2.575,2.750,                        0.0
5.550,5.725,5.900,                        2.750,2.925,3.100,                        0.0
5.550,5.725,5.900,                        3.100,3.275,3.450,                        0.0
5.550,5.725,5.900,                        3.450,3.625,3.800,                        0.0
5.550,5.725,5.900,                        3.800,3.975,4.150,                        0.0
5.550,5.725,5.900,                        4.150,4.325,4.500,                        0.0
5.550,5.725,5.900,                        4.500,4.675,4.850,                        0.0705428072049214
5.550,5.725,5.900,                        4.850,5.025,5.200,                        0.13516687818051318
5.550,5.725,5.900,                        5.200,5.375,5.550,                        24.1933749240548
5.550,5.725,5.900,                        5.550,5.725,5.900,                        421.4804776025974
5.550,5.725,5.900,                        5.900,6.075,6.250,                        11.223796519533892
5.550,5.725,5.900,                        6.250,6.425,6.600,                        0.0
5.550,5.725,5.900,                        6.600,6.775,6.950,                        0.03949841128600062
5.550,5.725,5.900,                        6.950,7.125,7.300,                        0.0
5.550,5.725,5.900,                        7.300,7.475,7.650,                        0.0
5.550,5.725,5.900,                        7.650,7.825,8.000,                        0.0
5.900,6.075,6.250,                        1.000,1.175,1.350,                        0.0
5.900,6.075,6.250,                        1.350,1.525,1.700,                        0.0
5.900,6.075,6.250,                        1.700,1.875,2.050,                        0.0
5.900,6.075,6.250,                        2.050,2.225,2.400,                        0.0
5.900,6.075,6.250,                        2.400,2.575,2.750,                        0.0
5.900,6.075,6.250,                        2.750,2.925,3.100,                        0.0
5.900,6.075,6.250,                        3.100,3.275,3.450,                        0.0
5.900,6.075,6.250,                        3.450,3.625,3.800,                        0.0
5.900,6.075,6.250,                        3.800,3.975,4.150,                        0.0
5.900,6.075,6.250,                        4.150,4.325,4.500,                        0.0
5.900,6.075,6.250,                        4.500,4.675,4.850,                        0.0
5.900,6.075,6.250,                        4.850,5.025,5.200,                        0.037324680603116625
5.900,6.075,6.250,                        5.200,5.375,5.550,                        0.3281899283773308
5.900,6.075,6.250,                        5.550,5.725,5.900,                        23.298967587978307
5.900,6.075,6.250,                        5.900,6.075,6.250,                        419.344235105193
5.900,6.075,6.250,                        6.250,6.425,6.600,                        14.03628026210548
5.900,6.075,6.250,                        6.600,6.775,6.950,                        0.09785957860015587
5.900,6.075,6.250,                        6.950,7.125,7.300,                        0.0
5.900,6.075,6.250,                        7.300,7.475,7.650,                        0.0
5.900,6.075,6.250,                        7.650,7.825,8.000,                        0.0
6.250,6.425,6.600,                        1.000,1.175,1.350,                        0.0
6.250,6.425,6.600,                        1.350,1.525,1.700,                        0.0
6.250,6.425,6.600,                        1.700,1.875,2.050,                        0.0
6.250,6.425,6.600,                        2.050,2.225,2.400,                        0.0
6.250,6.425,6.600,                        2.400,2.575,2.750,                        0.0
6.250,6.425,6.600,                        2.750,2.925,3.100,                        0.0
6.250,6.425,6.600,                        3.100,3.275,3.450,                        0.0
6.250,6.425,6.600,                        3.450,3.625,3.800,                        0.0
6.250,6.425,6.600,                        3.800,3.975,4.150,                        0.0
6.250,6.425,6.600,                        4.150,4.325,4.500,                        0.0
6.250,6.425,6.600,                        4.500,4.675,4.850,                        0.0
6.250,6.425,6.600,                        4.850,5.025,5.200,                        0.0
6.250,6.425,6.600,                        5.200,5.375,5.550,                        0.08070757061782291
6.250,6.425,6.600,                        5.550,5.725,5.900,                        0.6675762179086644
6.250,6.425,6.600,                        5.900,6.075,6.250,                        23.851494828442803
6.250,6.425,6.600,                        6.250,6.425,6.600,                        413.1481945203373
6.250,6.425,6.600,                        6.600,6.775,6.950,                        19.3948840055508
6.250,6.425,6.600,                        6.950,7.125,7.300,                        0.0
6.250,6.425,6.600,                        7.300,7.475,7.650,                        0.0
6.250,6.425,6.600,                        7.650,7.825,8.000,                        0.0
6.600,6.775,6.950,                        1.000,1.175,1.350,                        0.0
6.600,6.775,6.950,                        1.350,1.525,1.700,                        0.0
6.600,6.775,6.950,                        1.700,1.875,2.050,                        0.0
6.600,6.775,6.950,                        2.050,2.225,2.400,                        0.0
6.600,6.775,6.950,                        2.400,2.575,2.750,                        0.0
6.600,6.775,6.950,                        2.750,2.925,3.100,                        0.0
6.600,6.775,6.950,                        3.100,3.275,3.450,                        0.0
6.600,6.775,6.950,                        3.450,3.625,3.800,                        0.0
6.600,6.775,6.950,                        3.800,3.975,4.150,                        0.0
6.600,6.775,6.950,                        4.150,4.325,4.500,                        0.0
6.600,6.775,6.950,                        4.500,4.675,4.850,                        0.0
6.600,6.775,6.950,                        4.850,5.025,5.200,                        0.0
6.600,6.775,6.950,                        5.200,5.375,5.550,                        0.0596314007377981
6.600,6.775,6.950,                        5.550,5.725,5.900,                        0.0
6.600,6.775,6.950,                        5.900,6.075,6.250,                        0.3063259331296241
6.600,6.775,6.950,                        6.250,6.425,6.600,                        27.50596449817473
6.600,6.775,6.950,                        6.600,6.775,6.950,                        411.7326895381604
6.600,6.775,6.950,                        6.950,7.125,7.300,                        17.368259434813307
6.600,6.775,6.950,                        7.300,7.475,7.650,                        0.0
6.600,6.775,6.950,                        7.650,7.825,8.000,                        0.16998633784162764
6.950,7.125,7.300,                        1.000,1.175,1.350,                        0.0
6.950,7.125,7.300,                        1.350,1.525,1.700,                        0.0
6.950,7.125,7.300,                        1.700,1.875,2.050,                        0.0
6.950,7.125,7.300,                        2.050,2.225,2.400,                        0.0
6.950,7.125,7.300,                        2.400,2.575,2.750,                        0.0
6.950,7.125,7.300,                        2.750,2.925,3.100,                        0.0
6.950,7.125,7.300,                        3.100,3.275,3.450,                        0.0
6.950,7.125,7.300,                        3.450,3.625,3.800,                        0.0
6.950,7.125,7.300,                        3.800,3.975,4.150,                        0.0
6.950,7.125,7.300,                        4.150,4.325,4.500,                        0.0
6.950,7.125,7.300,                        4.500,4.675,4.850,                        0.0
6.950,7.125,7.300,                        4.850,5.025,5.200,                        0.10197280784001586
6.950,7.125,7.300,                        5.200,5.375,5.550,                        0.16464436723575715
6.950,7.125,7.300,                        5.550,5.725,5.900,                        0.22181856946325978
6.950,7.125,7.300,                        5.900,6.075,6.250,                        0.7763421170508992
6.950,7.125,7.300,                        6.250,6.425,6.600,                        3.0404138446358933
6.950,7.125,7.300,                        6.600,6.775,6.950,                        37.912512991850136
6.950,7.125,7.300,                        6.950,7.125,7.300,                        391.98515390831517
6.950,7.125,7.300,                        7.300,7.475,7.650,                        22.93999853646622
6.950,7.125,7.300,                        7.650,7.825,8.000,                        0.0
7.300,7.475,7.650,                        1.000,1.175,1.350,                        0.0
7.300,7.475,7.650,                        1.350,1.525,1.700,                        0.0
7.300,7.475,7.650,                        1.700,1.875,2.050,                        0.0
7.300,7.475,7.650,                        2.050,2.225,2.400,                        0.0
7.300,7.475,7.650,                        2.400,2.575,2.750,                        0.0
7.300,7.475,7.650,                        2.750,2.925,3.100,                        0.0
7.300,7.475,7.650,                        3.100,3.275,3.450,                        0.0
7.300,7.475,7.650,                        3.450,3.625,3.800,                        0.0
7.300,7.475,7.650,                        3.800,3.975,4.150,                        0.0
7.300,7.475,7.650,                        4.150,4.325,4.500,                        0.0
7.300,7.475,7.650,                        4.500,4.675,4.850,                        0.0
7.300,7.475,7.650,                        4.850,5.025,5.200,                        0.0
7.300,7.475,7.650,                        5.200,5.375,5.550,                        0.0
7.300,7.475,7.650,                        5.550,5.725,5.900,                        0.5089662151578709
7.300,7.475,7.650,                        5.900,6.075,6.250,                        0.6780071416404688
7.300,7.475,7.650,                        6.250,6.425,6.600,                        1.9015203806579872
7.300,7.475,7.650,                        6.600,6.775,6.950,                        6.070783611598095
7.300,7.475,7.650,                        6.950,7.125,7.300,                        45.14481325886896
7.300,7.475,7.650,                        7.300,7.475,7.650,                        371.96875823880777
7.300,7.475,7.650,                        7.650,7.825,8.000,                        30.870008296126358
7.650,7.825,8.000,                        1.000,1.175,1.350,                        0.0
7.650,7.825,8.000,                        1.350,1.525,1.700,                        0.0
7.650,7.825,8.000,                        1.700,1.875,2.050,                        0.0
7.650,7.825,8.000,                        2.050,2.225,2.400,                        0.0
7.650,7.825,8.000,                        2.400,2.575,2.750,                        0.0
7.650,7.825,8.000,                        2.750,2.925,3.100,                        0.0
7.650,7.825,8.000,                        3.100,3.275,3.450,                        0.0
7.650,7.825,8.000,                        3.450,3.625,3.800,                        0.0
7.650,7.825,8.000,                        3.800,3.975,4.150,                        0.0
7.650,7.825,8.000,                        4.150,4.325,4.500,                        0.0
7.650,7.825,8.000,                        4.500,4.675,4.850,                        0.0
7.650,7.825,8.000,                        4.850,5.025,5.200,                        0.0
7.650,7.825,8.000,                        5.200,5.375,5.550,                        0.0
7.650,7.825,8.000,                        5.550,5.725,5.900,                        0.21439536490454894
7.650,7.825,8.000,                        5.900,6.075,6.250,                        0.3440450305673224
7.650,7.825,8.000,                        6.250,6.425,6.600,                        0.8580421546494779
7.650,7.825,8.000,                        6.600,6.775,6.950,                        6.024514796601645
7.650,7.825,8.000,                        6.950,7.125,7.300,                        8.720213586653994
7.650,7.825,8.000,                        7.300,7.475,7.650,                        57.392659015667135
7.650,7.825,8.000,                        7.650,7.825,8.000,                        383.5889871938133
